Day,OT_Scripture_Readings,NT_Scripture_Readings,OT_URL,NT_URL,Video_URLs
263,Isaiah 25; Isaiah 26,2 Corinthians 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/263,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/263,
264,Isaiah 27; Isaiah 28,2 Corinthians 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/264,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/264,
265,Isaiah 29; Isaiah 30,2 Corinthians 13,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/265,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/265,
266,Isaiah 31; Isaiah 32,Galatians 1,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/266,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/266,https://www.youtube.com/embed/vmx4UjRFp0M
267,Isaiah 33; Isaiah 34,Galatians 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/267,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/267,
268,Isaiah 35; Isaiah 36,Galatians 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/268,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/268,
269,Isaiah 37; Isaiah 38,Galatians 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/269,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/269,
270,Isaiah 39; Isaiah 40,Galatians 5,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/270,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/270,https://www.youtube.com/embed/_TzdEPuqgQg | https://www.youtube.com/embed/YbipxLDtY8c
271,Isaiah 41; Isaiah 42,Galatians 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/271,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/271,
272,Isaiah 43; Isaiah 44,Ephesians 1,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/272,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/272,https://www.youtube.com/embed/Y71r-T98E2Q
